"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.allowableVaccine.vaccineType","antigen-supporting-data.series.seriesDose.allowableVaccine.vaccineType","","","",1,1,"","","","string {[]} {[]}
","Type of allowable vaccine.","Type of allowable vaccine.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.allowableVaccine.vaccineType",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.allowableVaccine.cvx","antigen-supporting-data.series.seriesDose.allowableVaccine.cvx","","","",1,1,"","","","string {[]} {[]}
","CVX code for allowable vaccine.","CVX code for allowable vaccine.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.allowableVaccine.cvx",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.allowableVaccine.beginAge","antigen-supporting-data.series.seriesDose.allowableVaccine.beginAge","","","",1,1,"","","","string {[]} {[]}
","Beginning age for allowable vaccine.","Beginning age for allowable vaccine.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.allowableVaccine.beginAge",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.allowableVaccine.endAge","antigen-supporting-data.series.seriesDose.allowableVaccine.endAge","","","",1,1,"","","","string {[]} {[]}
","Ending age for allowable vaccine.","Ending age for allowable vaccine.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.allowableVaccine.endAge",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.seasonalRecommendation","antigen-supporting-data.series.seriesDose.seasonalRecommendation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Seasonal recommendation for the vaccine dose.","Seasonal recommendation for the vaccine dose.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.seasonalRecommendation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.seasonalRecommendation.id","antigen-supporting-data.series.seriesDose.seasonalRecommendation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.seasonalRecommendation.extension","antigen-supporting-data.series.seriesDose.seasonalRecommendation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.seasonalRecommendation.modifierExtension","antigen-supporting-data.series.seriesDose.seasonalRecommendation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.seasonalRecommendation.startDate","antigen-supporting-data.series.seriesDose.seasonalRecommendation.startDate","","","",1,1,"","","","string {[]} {[]}
","Start date for the seasonal recommendation.","Start date for the seasonal recommendation.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.seasonalRecommendation.startDate",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.seasonalRecommendation.endDate","antigen-supporting-data.series.seriesDose.seasonalRecommendation.endDate","","","",1,1,"","","","string {[]} {[]}
","End date for the seasonal recommendation.","End date for the seasonal recommendation.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.seasonalRecommendation.endDate",1,1,"",""
"assessment-date","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Extension","The date on which the vaccination assessment was made.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"assessment-date","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"assessment-date","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"assessment-date","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://fhirfli.dev/fhir/ig/pythia/StructureDefinition/assessment-date""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"assessment-date","Extension.value[x]","Extension.value[x]","","","",0,1,"","","","dateTime {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"schedule-supporting-data","schedule-supporting-data","schedule-supporting-data","","","",0,*,"","","","null {[]} {[]}
","Schedule Supporting Data","This resource consolidates various mapping and conflict information related to vaccine scheduling to support decision-making processes.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"schedule-supporting-data","schedule-supporting-data.id","schedule-supporting-data.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"schedule-supporting-data","schedule-supporting-data.extension","schedule-supporting-data.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict","schedule-supporting-data.liveVirusConflict","","","",0,1,"","","","BackboneElement {[]} {[]}
","Potential conflicts between live virus vaccines based on previous and current vaccinations and the required time intervals to avoid interference.","Potential conflicts between live virus vaccines based on previous and current vaccinations and the required time intervals to avoid interference.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.liveVirusConflict",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.id","schedule-supporting-data.liveVirusConflict.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.extension","schedule-supporting-data.liveVirusConflict.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.modifierExtension","schedule-supporting-data.liveVirusConflict.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.previous","schedule-supporting-data.liveVirusConflict.previous","","","",1,1,"","","","BackboneElement {[]} {[]}
","Details about the previous vaccination.","Details about the previous vaccination.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.liveVirusConflict.previous",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.previous.id","schedule-supporting-data.liveVirusConflict.previous.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.previous.extension","schedule-supporting-data.liveVirusConflict.previous.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.previous.modifierExtension","schedule-supporting-data.liveVirusConflict.previous.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.previous.vaccineType","schedule-supporting-data.liveVirusConflict.previous.vaccineType","","","",1,1,"","","","string {[]} {[]}
","Type of the previous vaccine.","Type of the previous vaccine.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.liveVirusConflict.previous.vaccineType",1,1,"",""
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.previous.cvx","schedule-supporting-data.liveVirusConflict.previous.cvx","","","",1,1,"","","","string {[]} {[]}
","CVX code for the previous vaccine.","CVX code for the previous vaccine.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.liveVirusConflict.previous.cvx",1,1,"",""
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.current","schedule-supporting-data.liveVirusConflict.current","","","",1,1,"","","","BackboneElement {[]} {[]}
","Details about the current vaccination.","Details about the current vaccination.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.liveVirusConflict.current",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.current.id","schedule-supporting-data.liveVirusConflict.current.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.current.extension","schedule-supporting-data.liveVirusConflict.current.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.current.modifierExtension","schedule-supporting-data.liveVirusConflict.current.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.current.vaccineType","schedule-supporting-data.liveVirusConflict.current.vaccineType","","","",1,1,"","","","string {[]} {[]}
","Type of the current vaccine.","Type of the current vaccine.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.liveVirusConflict.current.vaccineType",1,1,"",""
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.current.cvx","schedule-supporting-data.liveVirusConflict.current.cvx","","","",1,1,"","","","string {[]} {[]}
","CVX code for the current vaccine.","CVX code for the current vaccine.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.liveVirusConflict.current.cvx",1,1,"",""
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.conflictBeginInterval","schedule-supporting-data.liveVirusConflict.conflictBeginInterval","","","",1,1,"","","","string {[]} {[]}
","Time interval before which a conflict begins after the previous vaccination.","Time interval before which a conflict begins after the previous vaccination.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.liveVirusConflict.conflictBeginInterval",1,1,"",""
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.minConflictEndInterval","schedule-supporting-data.liveVirusConflict.minConflictEndInterval","","","",1,1,"","","","string {[]} {[]}
","Minimum time interval after which the conflict might end.","Minimum time interval after which the conflict might end.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.liveVirusConflict.minConflictEndInterval",1,1,"",""
"schedule-supporting-data","schedule-supporting-data.liveVirusConflict.conflictEndInterval","schedule-supporting-data.liveVirusConflict.conflictEndInterval","","","",1,1,"","","","string {[]} {[]}
","Time interval after which the conflict ends.","Time interval after which the conflict ends.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.liveVirusConflict.conflictEndInterval",1,1,"",""
"schedule-supporting-data","schedule-supporting-data.vaccineGroupMap","schedule-supporting-data.vaccineGroupMap","","","",0,1,"","","","BackboneElement {[]} {[]}
","Mapping of vaccine groups to their specific attributes.","Mapping of vaccine groups to their specific attributes.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.vaccineGroupMap",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"schedule-supporting-data","schedule-supporting-data.vaccineGroupMap.id","schedule-supporting-data.vaccineGroupMap.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"schedule-supporting-data","schedule-supporting-data.vaccineGroupMap.extension","schedule-supporting-data.vaccineGroupMap.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"schedule-supporting-data","schedule-supporting-data.vaccineGroupMap.modifierExtension","schedule-supporting-data.vaccineGroupMap.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"schedule-supporting-data","schedule-supporting-data.vaccineGroupMap.name","schedule-supporting-data.vaccineGroupMap.name","","","",1,1,"","","","string {[]} {[]}
","Name of the vaccine group.","Name of the vaccine group.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.vaccineGroupMap.name",1,1,"",""
"schedule-supporting-data","schedule-supporting-data.vaccineGroupMap.administerFullVaccineGroup","schedule-supporting-data.vaccineGroupMap.administerFullVaccineGroup","","","",0,1,"","","","boolean {[]} {[]}
","Flag to indicate if the full vaccine group should be administered.","Flag to indicate if the full vaccine group should be administered.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.vaccineGroupMap.administerFullVaccineGroup",0,1,"",""
"schedule-supporting-data","schedule-supporting-data.vaccineGroupToAntigenMap","schedule-supporting-data.vaccineGroupToAntigenMap","","","",0,1,"","","","BackboneElement {[]} {[]}
","Mapping of vaccine groups to their associated antigens.","Mapping of vaccine groups to their associated antigens.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.vaccineGroupToAntigenMap",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"schedule-supporting-data","schedule-supporting-data.vaccineGroupToAntigenMap.id","schedule-supporting-data.vaccineGroupToAntigenMap.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"schedule-supporting-data","schedule-supporting-data.vaccineGroupToAntigenMap.extension","schedule-supporting-data.vaccineGroupToAntigenMap.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"schedule-supporting-data","schedule-supporting-data.vaccineGroupToAntigenMap.modifierExtension","schedule-supporting-data.vaccineGroupToAntigenMap.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"schedule-supporting-data","schedule-supporting-data.vaccineGroupToAntigenMap.name","schedule-supporting-data.vaccineGroupToAntigenMap.name","","","",0,1,"","","","string {[]} {[]}
","The name of the vaccine group.","The name of the vaccine group.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.vaccineGroupToAntigenMap.name",0,1,"",""
"schedule-supporting-data","schedule-supporting-data.vaccineGroupToAntigenMap.antigen","schedule-supporting-data.vaccineGroupToAntigenMap.antigen","","","",0,*,"","","","string {[]} {[]}
","List of antigens associated with the vaccine group.","List of antigens associated with the vaccine group.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.vaccineGroupToAntigenMap.antigen",0,*,"",""
"schedule-supporting-data","schedule-supporting-data.cvxToAntigenMap","schedule-supporting-data.cvxToAntigenMap","","","",0,1,"","","","BackboneElement {[]} {[]}
","Maps CVX Codes to Antigens and Ages.","Maps CVX Codes to Antigens and Ages.","","","","","","","","","",,,,,"",,,,"schedule-supporting-data.cvxToAntigenMap",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"schedule-supporting-data","schedule-supporting-data.cvxToAntigenMap.id","schedule-supporting-data.cvxToAntigenMap.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
